lmdn	lmdp
-5.946659	-4.268094
-5.930041	-4.303185
-5.835301	-4.408753
-5.897821	-4.33676
-5.916629	-4.283829
-5.831594	-4.380735
-5.83702	-4.444759
-5.804194	-4.471128
-5.794884	-4.513067
-5.839268	-4.501482
-5.775889	-4.457255
-5.696671	-4.560872
-5.777267	-4.488367
-5.726199	-4.564238
-5.690662	-4.621247
-5.791866	-4.44735
-5.788749	-4.448214
-5.787774	-4.387885
-5.740545	-4.482823
-5.86002	-4.420673
-5.837682	-4.446549
-5.819843	-4.502235
-5.867449	-4.378742
-5.688802	-4.62641
-5.81256	-4.477981
-5.747936	-4.380274
-5.789984	-4.505982
-5.76729	-4.506089
-5.746326	-4.551849
-5.786488	-4.467431
-5.708816	-4.50266
-5.774426	-4.422241
-5.6228	-4.638792
-5.638268	-4.579727
-5.699862	-4.479126
-5.781646	-4.449753
-5.654172	-4.550724
-5.749429	-4.476909
-5.700195	-4.49539
-5.706176	-4.565785
-5.656202	-4.612327
-5.709934	-4.567376
-5.750665	-4.481335
-5.667962	-4.529426
-5.750417	-4.501807
-5.702004	-4.489506
-5.815491	-4.361445
-5.735068	-4.45751
-5.727781	-4.495845
-5.793342	-4.472171
-5.696036	-4.548632
-5.752007	-4.56013
-5.922197	-4.426262
-5.74015	-4.525809
-5.898764	-4.338997
-5.810918	-4.410377
-5.852264	-4.320468
-5.696909	-4.526421
-5.790253	-4.505066
-5.827432	-4.501781
-5.877215	-4.461425
-5.804487	-4.468179
-5.817601	-4.348122
-5.772499	-4.423462
-5.766533	-4.474205
-5.739792	-4.530952
-5.804377	-4.464062
-5.780538	-4.453425
-5.748734	-4.4491
-5.776769	-4.426505
-5.839079	-4.417311
-5.912407	-4.367813
-5.743865	-4.498599
-5.787421	-4.54264
-5.836933	-4.422639
-5.839563	-4.401177
-5.90943	-4.419071
-5.757194	-4.514603
-5.788909	-4.564457
-5.86443	-4.453427
-5.836343	-4.464713
-5.914268	-4.489528
-5.821452	-4.495721
-5.811524	-4.490715
-5.893202	-4.541755
-5.886047	-4.454778
-5.900792	-4.410808
-5.779261	-4.512536
-5.86664	-4.423344
-5.868287	-4.446585
-5.719717	-4.65785
-5.674763	-4.721541
-5.854704	-4.589713
-5.798668	-4.631234
-5.87876	-4.55341
-5.655359	-4.63089
-5.847222	-4.666353
-5.737232	-4.619659
-5.707087	-4.584202
-5.797375	-4.64173
-5.787693	-4.56951
-5.800476	-4.518571
-5.884928	-4.505885
-5.874542	-4.459919
-5.769753	-4.465115
-5.844914	-4.44147
-5.842003	-4.46939
-5.89038	-4.381794
-5.853018	-4.504226
-5.938536	-4.501916
-5.802061	-4.566644
-5.86062	-4.553335
-5.948938	-4.523741
-5.817211	-4.603561
-5.833932	-4.514485
-5.868494	-4.440226
-5.900158	-4.484384
-5.715862	-4.677193
-5.815316	-4.534806
-5.773759	-4.453332
-5.746683	-4.541445
-5.764129	-4.354212
-5.745273	-4.478118
-5.74696	-4.461862
-5.974049	-4.28913
-5.805981	-4.466646
-5.680319	-4.509702
-5.735015	-4.568734
-5.643249	-4.550374
-5.816155	-4.467832
-5.705003	-4.568568
-5.738088	-4.436302
-5.69483	-4.48443
-5.698666	-4.472968
-5.655287	-4.512927
-5.784197	-4.428815
-5.734497	-4.514132
-5.782307	-4.46712
-5.75522	-4.530098
-5.76225	-4.454492
-5.677402	-4.447959
-5.553038	-4.608683
-5.657905	-4.511676
-5.599437	-4.631468
-5.627442	-4.593873
-5.643582	-4.539621
-5.623437	-4.66765
-5.696277	-4.476218
-5.677459	-4.498787
-5.577288	-4.627623
-5.796787	-4.579069
-5.794585	-4.652411
-5.865719	-4.457412
-5.786901	-4.535961
-5.765397	-4.694411
-5.762335	-4.65322
-5.835396	-4.588934
-5.736579	-4.663848
-5.806494	-4.624016
-5.812765	-4.508789
-5.807178	-4.555505
-5.890417	-4.569951
-5.804147	-4.585812
-5.811304	-4.544491
-5.70672	-4.576232
-5.815686	-4.589392
-5.813494	-4.493699
-5.711169	-4.640143
-5.74791	-4.671297
-5.838412	-4.524409
-5.783991	-4.627761
-5.88793	-4.624958
-5.890147	-4.537441
-5.806873	-4.524813
-5.958204	-4.387759
-5.857521	-4.474273
-5.684149	-4.657045
-5.723408	-4.566791
-5.708974	-4.623288
-5.781796	-4.601091
-5.883826	-4.430291
-5.737295	-4.588206
-5.751566	-4.512318
-5.682801	-4.588512
-5.818958	-4.47254
-5.799382	-4.517816
-5.752558	-4.531183
-5.783517	-4.591723
-5.751497	-4.486678
-5.537475	-4.726102
-5.671688	-4.629178
-5.70409	-4.557461
-5.785442	-4.462119
-5.834364	-4.383558
-5.81053	-4.538325
-5.810245	-4.568619
-5.801253	-4.474905
-5.72836	-4.533621
-5.787589	-4.49091
-5.830103	-4.449356
-5.807017	-4.570095
-5.755918	-4.616979
-5.696083	-4.58616
-5.784205	-4.48827
-5.706514	-4.594644
-5.702561	-4.54645
-5.737527	-4.51169
-5.615209	-4.62832
-5.713799	-4.583155
-5.660723	-4.657779
-5.890516	-4.523336
-5.866264	-4.534174
-5.761588	-4.530418
-5.779452	-4.455623
-5.723218	-4.628307
-5.795439	-4.472212
-5.751333	-4.565838
-5.713582	-4.545405
-5.799521	-4.431285
-5.807385	-4.454396
-5.649937	-4.60836
-5.769003	-4.446034
-5.684652	-4.555545
-5.759969	-4.523524
-5.710444	-4.571807
-5.816892	-4.441718
-5.60371	-4.603408
-5.681454	-4.505232
-5.643853	-4.557237
-5.572847	-4.64935
-5.606955	-4.562422
-5.717549	-4.488165
-5.792574	-4.480589
-5.62053	-4.564571
-5.841236	-4.574561
-5.749402	-4.517181
-5.675098	-4.510145
-5.817067	-4.560116
-5.788823	-4.529527
-5.722646	-4.488517
-5.732323	-4.597649
-5.829255	-4.356943
-5.764405	-4.501732
-5.787589	-4.613148
-5.910397	-4.528211
-5.741221	-4.680111
-5.795107	-4.471423
-5.648398	-4.511945
-5.868499	-4.512003
-5.88151	-4.495367
-5.799228	-4.59419
-6.000673	-4.363735
-5.84121	-4.435513
-5.72874	-4.478606
-5.741959	-4.524202
-5.780369	-4.575431
-5.823282	-4.47956
-5.741537	-4.588664
-5.761145	-4.538065
-5.778304	-4.563059
-5.740712	-4.457246
-5.618842	-4.64602
-5.660389	-4.624833
-5.773489	-4.579009
-5.846774	-4.527588
-5.744791	-4.63116
-5.789139	-4.539277
-5.695153	-4.670611
-5.927525	-4.464451
-5.770734	-4.57369
-5.781063	-4.636101
-5.865282	-4.463421
-5.751295	-4.675195
-6.045813	-4.368531
-5.929772	-4.472385
-5.877575	-4.54275
-5.831737	-4.587236
-5.879245	-4.427084
-5.845889	-4.432198
-5.920682	-4.397966
-5.851823	-4.40912
-5.87088	-4.430574
-5.832521	-4.461661
-5.962609	-4.325454
-5.869302	-4.371574
-5.848049	-4.360054
-5.895433	-4.417197
-5.835288	-4.477593
-5.703658	-4.498755
-5.690502	-4.534037
-5.83761	-4.379373
-5.701912	-4.564441
-5.765027	-4.491828
-5.760958	-4.378096
-5.717063	-4.569384
-5.737781	-4.486753
-5.783811	-4.458398
-5.800134	-4.488957
-5.817914	-4.411559
-5.801944	-4.435962
-5.69906	-4.569899
-5.773485	-4.484668
-5.75821	-4.466221
-5.760489	-4.441476
-5.679984	-4.554342
-5.668481	-4.584106
-5.692131	-4.557188
-5.713908	-4.538589
-5.791842	-4.361421
-5.635359	-4.659017
-5.740895	-4.356286
-5.728374	-4.415027
-5.691773	-4.584612
-5.745388	-4.474289
-5.665792	-4.595923
-5.748704	-4.434375
-5.672328	-4.60142
-5.699139	-4.543732
-5.788969	-4.464488
-5.797191	-4.41701
-5.673201	-4.534109
-5.750061	-4.444895
-5.722201	-4.506562
-5.70861	-4.537499
-5.706922	-4.574834
-5.703891	-4.533803
-5.663113	-4.579116
-5.730051	-4.532199
-5.796035	-4.470258
-5.805047	-4.400964
-5.669724	-4.497573
-5.697949	-4.54472
-5.662825	-4.549504
-5.746148	-4.497445
-5.641488	-4.553405
-5.646129	-4.537071
-5.634108	-4.610738
-5.769216	-4.446708
-5.818142	-4.511028
-5.831829	-4.369779
-5.782378	-4.44505
-5.792038	-4.457952
-5.783643	-4.521041
-5.769962	-4.567416
-5.879159	-4.445371
-5.960118	-4.288812
-5.859432	-4.453453
-5.845151	-4.491029
-5.863402	-4.462055
-5.820873	-4.469306
-5.84106	-4.472723
-5.88074	-4.434203
-5.871072	-4.38862
-5.847199	-4.435895
-5.983864	-4.414621
-5.815637	-4.455648
-5.840645	-4.473814
-5.946187	-4.33437
-5.857415	-4.395418
-5.854916	-4.366845
-5.827338	-4.429624
-5.750426	-4.512774
-5.808756	-4.419919
-5.825378	-4.436615
-5.770579	-4.487504
-5.78893	-4.477909
-5.85885	-4.458562
-5.851918	-4.478318
-5.865936	-4.381113
-5.922641	-4.277289
-5.849573	-4.408678
-5.788247	-4.499359
-5.910876	-4.37399
-5.927835	-4.389082
-5.830692	-4.395643
-5.728851	-4.525954
-5.780049	-4.435388
-5.794063	-4.384735
-5.77832	-4.475084
-5.7866	-4.427453
-5.870264	-4.334548
-5.721957	-4.556008
-5.731888	-4.500854
-5.677254	-4.496604
-5.662406	-4.519058
-5.578464	-4.615072
-5.657491	-4.534793
-5.740131	-4.478646
-5.664556	-4.557051
-5.611251	-4.57903
-5.670503	-4.591593
-5.609652	-4.620684
-5.636939	-4.577052
-5.788647	-4.453616
-5.709264	-4.570067
-5.835188	-4.524948
-5.838592	-4.47867
-5.901338	-4.337932
-5.796439	-4.487226
-5.746272	-4.504812
-5.785165	-4.444511
-5.755371	-4.500738
-5.940543	-4.24484
-5.74707	-4.461327
-5.746529	-4.477292
-5.837556	-4.429003
-5.745096	-4.438819
-5.812607	-4.404834
-5.862097	-4.370537
-5.890296	-4.407171
-5.743805	-4.54453
-5.771622	-4.569514
-5.808017	-4.42724
-5.697523	-4.604716
-5.804918	-4.506799
-5.738155	-4.537131
-5.835514	-4.46429
-5.839723	-4.443579
-5.834945	-4.435722
-5.856881	-4.432493
-5.864022	-4.501958
-5.833917	-4.395414
-5.756708	-4.569391
-5.844518	-4.409653
-5.8584	-4.407828
-5.718969	-4.604179
-5.814274	-4.419118
-5.840979	-4.451715
-5.836041	-4.530329
-5.814628	-4.435388
-5.834343	-4.429854
-5.914935	-4.515036
-5.869817	-4.431657
-5.902005	-4.386673
-5.813725	-4.443075
-5.888295	-4.316849
-5.835068	-4.38825
-5.876462	-4.372735
-5.953382	-4.355133
-5.942665	-4.430055
-5.882784	-4.454477
-5.845679	-4.431669
-5.994567	-4.310787
-5.856566	-4.398991
-5.959358	-4.225098
-5.884674	-4.310172
-5.788959	-4.407901
-5.911426	-4.419621
-5.845438	-4.409653
-5.961366	-4.347747
-5.845091	-4.443706
-5.804712	-4.439081
-5.713779	-4.553812
-5.894456	-4.363254
-5.744431	-4.586215
-5.697884	-4.554414
-5.714225	-4.527005
-5.726811	-4.374197
-5.633415	-4.5621
-5.62197	-4.598357
-5.616553	-4.611964
-5.691477	-4.42823
-5.682965	-4.572904
-5.751447	-4.511837
-5.619827	-4.560096
-5.528998	-4.650085
-5.604889	-4.674145
-5.623833	-4.635105
-5.609617	-4.56655
-5.47253	-4.672389
-5.595436	-4.553071
-5.592232	-4.622968
-5.54788	-4.664956
-5.619091	-4.48437
-5.628417	-4.658227
-5.617057	-4.591008
-5.772581	-4.430644
-5.595038	-4.580288
-5.708183	-4.451502
-5.67353	-4.554507
-5.706472	-4.503136
-5.596455	-4.500871
-5.625478	-4.543933
-5.683443	-4.506082
-5.751146	-4.468367
-5.727142	-4.4869
-5.779371	-4.427182
-5.755639	-4.495531
-5.855588	-4.540045
-5.828774	-4.459352
-5.765477	-4.473557
-5.705158	-4.495611
-5.796027	-4.434994
-5.736371	-4.511835
-5.7792	-4.427518
-5.779324	-4.475688
-5.830402	-4.541784
-5.714315	-4.488989
-5.855819	-4.426368
-5.791376	-4.502258
-5.805599	-4.385675
-5.908309	-4.341846
-5.791869	-4.411964
-5.667415	-4.488559
-5.56903	-4.719032
-5.637791	-4.643989
-5.724339	-4.577412
-5.774245	-4.613123
-5.878685	-4.419551
-5.935894	-4.509038
-5.785079	-4.525092
-5.862272	-4.433183
-5.768899	-4.517298
-5.754667	-4.652104
-5.864114	-4.503926
-5.838091	-4.580844
-5.920227	-4.435293
-5.773115	-4.518844
-5.789832	-4.547931
-5.667766	-4.645124
-5.780849	-4.501835
-5.773717	-4.484734
-5.640623	-4.622442
-5.725931	-4.572726
-5.619226	-4.693343
-5.892288	-4.416607
-5.765871	-4.459693
-5.773345	-4.488886
-5.653872	-4.52582
-5.885346	-4.464497
-5.772105	-4.497804
-5.658209	-4.504234
-5.810143	-4.457844
-5.690459	-4.61938
