isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	1e-06	32.524521	1e-06	1.225229	0.0	0.293703	0.0	0.116148	-1889.054028
True	0.0	34.253989	1.2e-05	1.338486	1e-06	0.410302	1e-06	0.149924	-1889.208697
True	2e-06	33.140309	5e-06	1.291841	1e-06	0.294861	1e-06	0.113976	-1888.858975
True	1e-06	33.701287	1e-06	1.312793	0.0	0.358507	0.0	0.136751	-1889.833228
True	5e-06	32.544987	3e-06	1.259298	0.0	0.257629	1e-06	0.106451	-1889.391488
True	1e-06	33.201656	1e-06	1.284727	0.0	0.323201	0.0	0.12231	-1888.770843
True	4e-06	33.626597	1e-06	1.284004	0.0	0.398334	1e-06	0.145896	-1889.131529
True	1e-06	33.222181	1e-06	1.27112	0.0	0.350369	0.0	0.131314	-1889.008212
True	2e-06	33.776972	1e-06	1.29413	0.0	0.405006	0.0	0.145081	-1890.29479
True	1e-06	32.985386	4e-06	1.256837	0.0	0.335766	0.0	0.12984	-1888.209808
True	1e-06	32.901788	1e-06	1.285886	0.0	0.281666	0.0	0.11091	-1888.945755
True	0.0	32.970408	1e-06	1.263776	0.0	0.314744	0.0	0.118322	-1888.764054
True	2e-06	33.801083	2e-06	1.280938	0.0	0.428264	0.0	0.156207	-1890.284124
True	1e-06	32.011569	2e-06	1.210643	0.0	0.248272	0.0	0.109231	-1888.697559
True	2e-06	32.367828	2e-06	1.247716	0.0	0.241151	0.0	0.09995	-1889.72221
True	0.0	33.542943	1e-06	1.29679	0.0	0.355088	0.0	0.132066	-1889.736222
True	0.0	32.135999	4e-06	1.225535	1e-06	0.245176	0.0	0.099606	-1888.938416
True	3e-06	32.534831	2e-06	1.253972	0.0	0.260203	1e-06	0.108724	-1889.18494
True	1e-06	33.304389	1e-06	1.291459	0.0	0.329479	0.0	0.126963	-1889.059466
True	1e-06	32.658588	1e-06	1.26211	0.0	0.271117	0.0	0.107326	-1888.771264
True	1e-06	33.724388	2e-06	1.301762	0.0	0.388006	0.0	0.147449	-1888.137002
True	4e-06	33.530153	4e-06	1.305122	1e-06	0.346267	1e-06	0.129729	-1889.406318
