 rho0                  EoA                   K                     a                     L                     Ms_inv                Crdr0                 Crdr1                 Vn                    Vp                    CrdJ0                 CrdJ1                
 [1/fm^3]              [MeV]                 [MeV]                 [MeV]                 [MeV]                 []                    []                    []                    []                    []                    []                    []                   
 1.59152140000000e-01 -1.57579900000000e+01  2.16065410000000e+02  2.82589510000000e+01  3.45909420000000e+01  1.01211370000000e+00 -4.58616760000000e+01 -1.52806170000000e+02 -1.88588980000000e+02 -2.08454580000000e+02 -7.70314870000000e+01 -4.33405570000000e+01 
 1.59120830000000e-01 -1.57563720000000e+01  2.15388100000000e+02  2.80761660000000e+01  3.18865130000000e+01  1.01867590000000e+00 -4.51871920000000e+01 -1.52817260000000e+02 -1.90040550000000e+02 -2.09714660000000e+02 -7.67572880000000e+01 -4.44404380000000e+01 
 1.58472640000000e-01 -1.57810410000000e+01  2.18382820000000e+02  2.94129110000000e+01  3.45047480000000e+01  8.91179260000000e-01 -4.18804630000000e+01 -9.81843690000000e+01 -1.71112650000000e+02 -1.99412580000000e+02 -7.56974300000000e+01 -5.92719720000000e+01 
 1.60458470000000e-01 -1.57943520000000e+01  2.10014330000000e+02  2.96126520000000e+01  3.97508440000000e+01  9.09061320000000e-01 -4.26622820000000e+01 -1.34114540000000e+02 -1.75484990000000e+02 -1.98128760000000e+02 -7.44268480000000e+01 -8.19450430000000e+01 
 1.59703280000000e-01 -1.57857080000000e+01  2.09569900000000e+02  2.91555120000000e+01  3.54232190000000e+01  8.83238190000000e-01 -4.20418250000000e+01 -1.29320140000000e+02 -1.70922630000000e+02 -1.94986390000000e+02 -7.38281980000000e+01 -6.69190790000000e+01 
 1.58975330000000e-01 -1.57719430000000e+01  2.11695110000000e+02  2.87385200000000e+01  3.09973740000000e+01  8.79666270000000e-01 -4.12920640000000e+01 -1.09075200000000e+02 -1.66717670000000e+02 -1.93553400000000e+02 -7.18117560000000e+01 -4.16871280000000e+01 
 1.59675170000000e-01 -1.57786780000000e+01  2.11532530000000e+02  2.83810470000000e+01  2.09488000000000e+01  8.70211990000000e-01 -4.07402360000000e+01 -1.06338340000000e+02 -1.66736920000000e+02 -1.96691470000000e+02 -7.32626320000000e+01 -7.03642990000000e+01 
 1.58985570000000e-01 -1.57247780000000e+01  2.09460330000000e+02  2.77082760000000e+01  2.40563710000000e+01  9.10381790000000e-01 -4.09179190000000e+01 -1.37313110000000e+02 -1.74438220000000e+02 -1.93903020000000e+02 -7.12935970000000e+01 -4.59804710000000e+01 
 1.59602480000000e-01 -1.57529670000000e+01  2.09948600000000e+02  2.79031630000000e+01  2.35296000000000e+01  8.80276420000000e-01 -4.07571240000000e+01 -1.33264470000000e+02 -1.72623880000000e+02 -1.96125520000000e+02 -7.20003370000000e+01 -8.38986090000000e+01 
 1.59450080000000e-01 -1.57452570000000e+01  2.10924120000000e+02  2.75747440000000e+01  2.91969740000000e+01  8.63224190000000e-01 -3.95007620000000e+01 -1.61626690000000e+02 -1.69737030000000e+02 -1.91394310000000e+02 -7.11822560000000e+01 -2.80269200000000e+01 
 1.59503490000000e-01 -1.57243840000000e+01  2.05427280000000e+02  2.75722360000000e+01  2.90087660000000e+01  8.57929510000000e-01 -3.95862600000000e+01 -1.76514770000000e+02 -1.66005960000000e+02 -1.87874420000000e+02 -7.25607360000000e+01 -3.46207580000000e+01 
 1.59158080000000e-01 -1.57426200000000e+01  2.11690900000000e+02  2.76962650000000e+01  2.62982550000000e+01  8.51167630000000e-01 -3.96311400000000e+01 -1.38524780000000e+02 -1.66279670000000e+02 -1.92408170000000e+02 -7.32649390000000e+01 -3.39823000000000e+01 
 1.59886790000000e-01 -1.57502230000000e+01  2.11452890000000e+02  2.74654280000000e+01  3.07833680000000e+01  8.74908350000000e-01 -3.98049070000000e+01 -1.72556860000000e+02 -1.68965380000000e+02 -1.96484270000000e+02 -7.06797990000000e+01 -4.49984380000000e+01 
 1.59609730000000e-01 -1.57582570000000e+01  2.13982940000000e+02  2.70128340000000e+01  2.63910350000000e+01  9.03464820000000e-01 -3.99068210000000e+01 -1.77262620000000e+02 -1.73031510000000e+02 -1.96784520000000e+02 -6.80496780000000e+01 -2.22914950000000e+01 
 1.59581750000000e-01 -1.57477300000000e+01  2.07145110000000e+02  2.72501080000000e+01  2.08876970000000e+01  8.69428980000000e-01 -3.94237230000000e+01 -1.55558350000000e+02 -1.67909900000000e+02 -1.92527120000000e+02 -6.78014630000000e+01 -3.36122380000000e+01 
 1.59550330000000e-01 -1.57487900000000e+01  2.11260150000000e+02  2.70182500000000e+01  1.53553260000000e+01  8.82515270000000e-01 -3.95468790000000e+01 -1.48258640000000e+02 -1.64588530000000e+02 -1.94251400000000e+02 -7.06445780000000e+01 -3.25160020000000e+01 
 1.59077960000000e-01 -1.57532050000000e+01  2.12794460000000e+02  2.79484010000000e+01  3.49949790000000e+01  8.37631100000000e-01 -3.94315170000000e+01 -1.73586300000000e+02 -1.60721990000000e+02 -1.90547210000000e+02 -7.30609920000000e+01 -4.76713980000000e+01 
 1.58716080000000e-01 -1.57397400000000e+01  2.19014860000000e+02  2.81201720000000e+01  4.03658650000000e+01  8.69998420000000e-01 -3.97329870000000e+01 -1.63724250000000e+02 -1.67695970000000e+02 -1.96494980000000e+02 -7.49090950000000e+01 -3.71756920000000e+01 
 1.59161950000000e-01 -1.57218870000000e+01  2.11219340000000e+02  2.82100860000000e+01  3.46785690000000e+01  8.57961730000000e-01 -3.89712600000000e+01 -1.62241750000000e+02 -1.64806320000000e+02 -1.89076070000000e+02 -7.33213010000000e+01 -5.96652580000000e+01 
 1.59538300000000e-01 -1.57284570000000e+01  2.06588360000000e+02  2.72682380000000e+01  2.12658800000000e+01  8.68808950000000e-01 -3.97992870000000e+01 -1.63503460000000e+02 -1.69505380000000e+02 -1.90832970000000e+02 -7.29177160000000e+01 -5.93807790000000e+01 
 1.60379740000000e-01 -1.57392750000000e+01  2.03787240000000e+02  2.80463960000000e+01  2.98418400000000e+01  8.65478140000000e-01 -4.04529950000000e+01 -1.43739440000000e+02 -1.65867670000000e+02 -1.90721100000000e+02 -7.35108230000000e+01 -2.54363640000000e+01 
